row_index,beta,finders_share,r,patch_scale,sigma,q,c,v,C_birth,mean_lambda,scrounge_rate,network_mean_degree,network_lcc_fraction,mean_fish_density,fleet_size,wealth_gini
251.0,5.0,0.4,0.3,0.2166666666666666,0.7,1.0,0.3,8.0,5.0,3.8076461818061937,0.4159783408401356,1.947741075598792,0.4980150753021102,0.0739290064716333,25.75333333333333,0.481490742421981
252.0,5.0,0.8,0.3,0.2166666666666666,0.7,1.0,0.3,8.0,5.0,4.277943718038202,0.3317677758043262,1.1241882859255354,0.3558191447355792,0.0395719623308842,18.013333333333332,0.4561147537518287
253.0,5.0,0.8,0.1333333333333333,0.2166666666666666,0.7,1.0,0.3,8.0,5.0,4.260820417383793,0.3153762850123061,0.9763026195553048,0.331798861817303,0.0253737511900433,14.546666666666669,0.357793048814262
254.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.7,1.0,0.3,8.0,5.0,0.7508906444230391,0.0,0.0,0.1866666666666666,0.0352299761323482,0.1733333333333333,0.0
255.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.7,1.0,0.3,3.0,5.0,0.0,0.0,0.0,0.0,0.0339196186644356,0.0,0.0
256.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.7,1.0,0.3,3.0,2.0,0.0,0.0,0.0,0.0,0.0265508526926154,0.0,0.0
257.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.1,1.0,0.3,3.0,2.0,0.0,0.0,0.0,0.0,0.0346670900048923,0.0,0.0
258.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.1,0.3666666666666667,0.3,3.0,2.0,4.313308746675065,0.2541262731285706,1.7220921245058756,0.4416582996114161,0.4942823647853069,107.06,0.2267811262051991
259.0,2.0,0.8,0.1333333333333333,0.2166666666666666,0.1,0.3666666666666667,0.1,3.0,2.0,4.476731767369992,0.3027742817196003,3.1545721374746054,0.7498502825959722,0.3168828840239635,328.12000000000006,0.2450084178424571
260.0,3.5,0.4,0.1333333333333333,0.2166666666666666,0.4,0.6833333333333333,0.1,3.0,5.0,4.138433319509525,0.4084733275038497,2.4845141493094345,0.4744678858985429,0.1337746730475886,249.18666666666664,0.2224447415206885
261.0,0.5,0.4,0.1333333333333333,0.2166666666666666,0.4,0.6833333333333333,0.1,3.0,5.0,3.63586882513142,0.4259063616845433,2.1952409666319745,0.1854972732693349,0.2687058193371794,179.95333333333335,0.2669954796872213
262.0,0.5,0.4,0.1333333333333333,0.2166666666666666,0.4,0.05,0.1,3.0,5.0,0.0,0.0,0.0,0.0,0.5985931452113877,0.0,0.0
263.0,0.5,0.4,0.3,0.2166666666666666,0.4,0.05,0.1,3.0,5.0,0.0,0.0,0.0,0.0,0.5861948018858326,0.0,0.0
264.0,0.5,0.4,0.3,0.2166666666666666,0.4,0.05,0.1,8.0,5.0,0.0,0.0,0.0,0.0,0.5409949446102172,0.0,0.0
265.0,0.5,0.4,0.3,0.05,0.4,0.05,0.1,8.0,5.0,0.0,0.0,0.0,0.0,0.1728677284167417,0.0,0.0
266.0,0.5,0.4,0.3,0.05,1.0,0.05,0.1,8.0,5.0,0.0,0.0,0.0,0.0,0.171006063722551,0.0,0.0
267.0,0.5,0.4,0.3,0.05,1.0,0.05,0.3,8.0,5.0,0.0,0.0,0.0,0.0,0.1708654797817533,0.0,0.0
268.0,0.5,0.8,0.3,0.05,1.0,0.05,0.3,8.0,5.0,0.0,0.0,0.0,0.0,0.1679422435983888,0.0,0.0
269.0,0.5,0.8,0.3,0.05,1.0,0.05,0.3,8.0,2.0,0.0,0.0,0.0,0.0,0.177556891121987,0.0,0.0
270.0,0.5,0.8,0.3,0.2166666666666666,0.1,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.6219208149254098,0.0,0.0
271.0,0.5,0.8,0.3,0.05,0.1,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.1717879750819291,0.0,0.0
272.0,0.5,0.4,0.3,0.05,0.1,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.1722383254656632,0.0,0.0
273.0,0.5,0.4,0.1333333333333333,0.05,0.1,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.174836547931961,0.0,0.0
274.0,3.5,0.4,0.1333333333333333,0.05,0.1,0.05,0.1,1.0,0.5,0.0,0.0,0.0,0.0,0.1631704048579494,0.0,0.0
275.0,3.5,0.4,0.1333333333333333,0.05,0.1,0.05,0.3,1.0,0.5,0.5221723915547583,0.0,0.0,0.1133333333333333,0.1652716615215414,0.1066666666666666,0.0
276.0,3.5,0.4,0.1333333333333333,0.05,0.1,0.05,0.3,6.0,0.5,0.0,0.0,0.0,0.0,0.1692384492564551,0.0,0.0
277.0,3.5,0.4,0.1333333333333333,0.05,0.7,0.05,0.3,6.0,0.5,0.0,0.0,0.0,0.0,0.1694568070522223,0.0,0.0
278.0,3.5,0.4,0.1333333333333333,0.05,0.7,0.6833333333333333,0.3,6.0,0.5,3.02262027466046,0.2338568626512158,1.7335345344942867,0.5203882372643983,0.1579049167319975,6.806666666666666,0.1236065495800963
279.0,3.5,0.4,0.1333333333333333,0.05,0.7,0.6833333333333333,0.3,6.0,3.5,4.078756108532397,0.4035978174283801,1.77847177829275,0.5923684280340291,0.1420038966296851,12.633333333333333,0.261015607814608
280.0,0.5,0.4,0.1333333333333333,0.3,0.1,0.6833333333333333,0.3,3.0,5.0,4.073904069915069,0.2751903014423852,0.8298004142515802,0.1079773638903616,0.5444148459040714,63.31333333333333,0.24635533152924
281.0,0.5,0.4,0.1333333333333333,0.1333333333333333,0.1,0.6833333333333333,0.3,3.0,5.0,4.1552514339623,0.1953864943955433,0.5099445560967985,0.2222615177188468,0.3922404213266354,16.433333333333334,0.2388397416027436
282.0,0.5,0.4,0.1333333333333333,0.1333333333333333,0.1,0.6833333333333333,0.3,3.0,2.0,4.442629418965521,0.2273288020449796,0.7501910157324089,0.2385425274939021,0.3660830493253439,20.360000000000003,0.2489153553944109
283.0,0.5,0.4,0.1333333333333333,0.1333333333333333,0.1,0.6833333333333333,0.1,3.0,2.0,3.9139472751602966,0.3709852957227057,1.576136111501575,0.1866879156858945,0.2278388185919771,97.15999999999998,0.2819751496025091
284.0,3.5,0.4,0.1333333333333333,0.1333333333333333,0.1,0.6833333333333333,0.1,3.0,2.0,4.4694315840537655,0.376868694410528,1.9930471733832773,0.285693850192857,0.1259310523300172,165.41333333333333,0.269857423025247
285.0,3.5,0.4,0.1333333333333333,0.1333333333333333,0.7,0.6833333333333333,0.1,3.0,2.0,4.467074087905645,0.366575967204779,1.8181573356360865,0.2464770347716917,0.1328174773449883,145.32666666666668,0.2487312120617926
286.0,3.5,0.4,0.1333333333333333,0.1333333333333333,0.7,0.6833333333333333,0.1,8.0,2.0,4.584570908214579,0.4203390656805526,10.61719844883332,0.9994612380741484,0.1383275187777783,165.62,0.2655457204116813
287.0,3.5,0.4,0.1333333333333333,0.1333333333333333,0.7,0.05,0.1,8.0,2.0,0.0,0.0,0.0,0.0,0.3894529436938324,0.0,0.0
288.0,3.5,0.4,0.3,0.1333333333333333,0.7,0.05,0.1,8.0,2.0,0.0,0.0,0.0,0.0,0.4224697203561997,0.0,0.0
289.0,3.5,0.8,0.3,0.1333333333333333,0.7,0.05,0.1,8.0,2.0,0.0,0.0,0.0,0.0,0.4100457566235886,0.0,0.0
290.0,2.0,0.8,0.2166666666666666,0.1333333333333333,0.1,0.6833333333333333,0.1,6.0,0.5,4.74833307352949,0.2837929468954669,8.931288897659142,0.9791256794233912,0.1564159056428858,194.11333333333332,0.2426801552146557
291.0,2.0,0.8,0.2166666666666666,0.1333333333333333,0.1,0.6833333333333333,0.1,1.0,0.5,4.536744783452549,0.1733068752362586,0.6478263552293057,0.0454984808478006,0.1362238797171885,260.82,0.269295154071085
292.0,2.0,0.8,0.2166666666666666,0.1333333333333333,0.7,0.6833333333333333,0.1,1.0,0.5,4.432133267331798,0.172745798044957,0.6513756640466443,0.048800202732874,0.1358578587754063,263.42,0.2678474649727937
293.0,2.0,0.8,0.2166666666666666,0.1333333333333333,0.7,0.6833333333333333,0.3,1.0,0.5,4.556660422665028,0.1484586363561691,0.5063597340354501,0.0538170840681268,0.2407476476644715,120.07333333333332,0.2582945202065601
294.0,2.0,0.4,0.2166666666666666,0.1333333333333333,0.7,0.6833333333333333,0.3,1.0,0.5,4.554369982906422,0.1833354371498646,0.6050276342870783,0.0615794537721445,0.2568812462088047,120.3,0.2487103082174451
295.0,5.0,0.4,0.2166666666666666,0.1333333333333333,0.7,0.6833333333333333,0.3,1.0,0.5,4.261924139050402,0.2312786642627018,0.7827295574132055,0.0588979898544164,0.1932212393767697,177.69333333333336,0.2807611633315701
296.0,5.0,0.4,0.2166666666666666,0.1333333333333333,0.7,0.05,0.3,1.0,0.5,2.90594140354697,0.0250555555555555,0.0625185185185185,0.287574074074074,0.4803602395144784,3.1133333333333333,0.1454955237729535
297.0,5.0,0.4,0.2166666666666666,0.3,0.7,0.05,0.3,1.0,0.5,4.220720160521443,0.1437511377511377,0.3631946941946942,0.2657453472453472,0.7858430670899202,8.7,0.2615201702055214
298.0,5.0,0.4,0.2166666666666666,0.3,0.7,0.05,0.3,1.0,3.5,4.081891251816055,0.0588790618085253,0.1299302941352538,0.0735416933858345,0.7524717040753676,25.386666666666667,0.1883752256719815
299.0,5.0,0.4,0.05,0.3,0.7,0.05,0.3,1.0,3.5,2.24412587369267,0.0,0.0,0.62,0.7413293498812523,0.6066666666666666,0.0
