row_index,C_birth,c,v,r,beta,mean_lambda,scrounge_rate,network_mean_degree,network_lcc_fraction,mean_fish_density,fleet_size,wealth_gini
867.0,4.096191301941872,0.0534411868080496,4.0,0.0591829306911677,1.553247849456966,3.878091940413313,0.3717634401561409,2.1505494141981147,0.3103343018428006,0.2376115488892486,65.26666666666667,0.2468314859298502
868.0,1.1961832642555237,0.0768608660437166,4.0,0.1053922546096146,1.9121315646916628,4.4538314213172905,0.366845340249355,3.352742426253525,0.5818310102016894,0.2441073484538439,72.82000000000001,0.276362339216942
869.0,3.8916969187557697,0.0768608660437166,4.0,0.1053922546096146,1.9121315646916628,3.6559735835852023,0.3640973045714916,2.5967445653781858,0.4760921177922675,0.2454733284994019,63.96666666666667,0.2266633882567076
870.0,1.1961832642555237,0.1922498085536062,4.0,0.1053922546096146,1.9121315646916628,4.72407893287185,0.3149216638396075,2.105239679999634,0.6915295232016057,0.2606470608797299,17.653333333333332,0.231825041752065
871.0,1.1961832642555237,0.0768608660437166,1.0,0.1053922546096146,1.9121315646916628,3.953203550061696,0.177088222205944,0.4862013939368845,0.042484434735844,0.2205367930322033,136.23999999999998,0.25334346314082
872.0,1.1961832642555237,0.0768608660437166,4.0,0.2337231311947107,1.9121315646916628,4.626026366888262,0.359845689356483,6.848170801866266,0.7673525591008571,0.2363314487775477,157.36,0.2504167142854601
873.0,1.1961832642555237,0.0768608660437166,4.0,0.1053922546096146,4.980171074159443,4.621954772721383,0.3248250685109387,4.792539935352435,0.8061828631227521,0.186913686402689,159.28,0.2471187591850574
874.0,3.8916969187557697,0.1922498085536062,1.0,0.2337231311947107,4.980171074159443,3.7421699372423913,0.2657608575247882,1.2076873949894902,0.1793135743085317,0.2146805410223621,139.31333333333336,0.1736327392560616
875.0,4.638667989522219,0.1961772996000945,2.0,0.2678606386296451,3.971058919560164,4.000381946374124,0.2942823702368271,2.727203240865129,0.6084172992587605,0.2597552007015219,110.39999999999998,0.1473822155089656
876.0,1.6482148207724094,0.1961772996000945,2.0,0.2678606386296451,3.971058919560164,4.393216700201788,0.3581741016677413,4.25400186235936,0.7443971827356012,0.2172108314939993,269.36,0.231885471419546
877.0,4.638667989522219,0.0196023205295205,2.0,0.2678606386296451,3.971058919560164,3.4032158485221053,0.3623614241117455,4.480479188564665,0.8023175538192954,0.164051695477733,614.0333333333333,0.1269799320395866
878.0,4.638667989522219,0.1961772996000945,5.0,0.2678606386296451,3.971058919560164,3.889739912419996,0.3054192011937807,9.622626686670712,0.8288822364357987,0.2497820474195113,91.69333333333331,0.152375592848308
879.0,4.638667989522219,0.1961772996000945,2.0,0.0890360816381871,3.971058919560164,4.059909610489261,0.2514278672215178,1.040371734942403,0.2490215232352598,0.2636421035529651,50.14000000000001,0.1690638281819729
880.0,4.638667989522219,0.1961772996000945,2.0,0.2678606386296451,2.099702808074653,3.8202779369021225,0.2208099690030604,0.9839817583739032,0.3017940763860945,0.2808073974871025,37.44,0.1366992584092447
881.0,1.6482148207724094,0.0196023205295205,5.0,0.0890360816381871,2.099702808074653,3.776393015389999,0.4280411753705166,8.343512282971313,0.890261814503246,0.1852080902881921,173.54,0.2833585514187406
882.0,3.907778579741717,0.0129737069830298,4.0,0.1271526389289647,3.6539480197243392,3.2550040970966747,0.4046926589490638,8.650273696428057,0.9463016803067752,0.1422056673141789,312.0733333333333,0.1597839071024701
883.0,2.924497101455927,0.0129737069830298,4.0,0.1271526389289647,3.6539480197243392,3.287386942828325,0.4132721629732321,8.506094649296854,0.9586883571194584,0.1431155127706131,366.3066666666666,0.232245023586701
884.0,3.907778579741717,0.2357848640531301,4.0,0.1271526389289647,3.6539480197243392,4.35885177084104,0.3730227984196927,4.363386386461511,0.7071058421714408,0.2720213718946166,65.36,0.1769991732671446
885.0,3.907778579741717,0.0129737069830298,4.0,0.1271526389289647,3.6539480197243392,3.158494356888339,0.4118792700889546,8.910874789286149,0.9682971967218044,0.1443762783423655,341.1266666666667,0.164368734995561
886.0,3.907778579741717,0.0129737069830298,4.0,0.1513322193175554,3.6539480197243392,3.1563716327107474,0.4025683725240803,10.422769390422806,0.9701021289053852,0.1489073939463541,418.83333333333326,0.1491764251616232
887.0,3.907778579741717,0.0129737069830298,4.0,0.1271526389289647,1.0047173304483294,3.2592964993522497,0.4646421525650473,9.178185293519542,0.9059084180684984,0.1682477506619228,296.8,0.1937613256781619
888.0,2.924497101455927,0.2357848640531301,4.0,0.1513322193175554,1.0047173304483294,0.6146100939940585,0.0,0.0,0.1666666666666666,0.2998861972981523,0.1666666666666666,0.0
889.0,2.473182827234268,0.2787743680179119,2.0,0.2147319386247545,1.1734576057642698,0.0,0.0,0.0,0.0,0.3127321811099299,0.0,0.0
890.0,4.676216144114733,0.2787743680179119,2.0,0.2147319386247545,1.1734576057642698,0.0,0.0,0.0,0.0,0.3110244928539999,0.0,0.0
891.0,2.473182827234268,0.1470900694839656,2.0,0.2147319386247545,1.1734576057642698,3.593462555653916,0.2695074949746565,0.9562533853351548,0.2191544858057489,0.2873546536649226,42.54,0.2293717883985554
892.0,2.473182827234268,0.2787743680179119,2.0,0.2147319386247545,1.1734576057642698,0.0,0.0,0.0,0.0,0.360652891839676,0.0,0.0
893.0,2.473182827234268,0.2787743680179119,2.0,0.2961981116794049,1.1734576057642698,0.6817653490183866,0.0193333333333333,0.0386666666666666,0.057,0.295028459482154,0.6866666666666666,0.0287680826085023
894.0,2.473182827234268,0.2787743680179119,2.0,0.2147319386247545,3.759102460928261,3.9802296282876064,0.3518978697329687,2.6817964531073897,0.6364760850293889,0.2540682689740632,102.9,0.2109557146296952
895.0,4.676216144114733,0.1470900694839656,2.0,0.2961981116794049,3.759102460928261,4.016477566084919,0.2894629844985208,3.0169682605104,0.6142036851570117,0.2590865394783041,189.25333333333336,0.1609206015381191
896.0,2.491404414176941,0.1448026766069233,4.0,0.1420090298168361,3.3617618824355304,4.531213952278297,0.3371296776875228,5.268128964152376,0.8932609679077667,0.2582473261616675,172.10000000000002,0.2343583803394228
897.0,1.4600718766450882,0.1448026766069233,4.0,0.1420090298168361,3.3617618824355304,4.582182135776901,0.3414675153041462,4.943380347627149,0.7940854260949514,0.2315234058943339,89.17333333333333,0.2505983445332914
898.0,2.491404414176941,0.1819189181551337,4.0,0.1420090298168361,3.3617618824355304,4.432678989097326,0.3488197482041875,4.894847166826474,0.780328513131369,0.2401081606440206,72.25333333333333,0.2446237135711297
899.0,2.491404414176941,0.1448026766069233,3.0,0.1420090298168361,3.3617618824355304,4.459977662720179,0.3348711100207059,3.150430757606302,0.6568049048063894,0.2455862925880052,148.35333333333335,0.2284808535090815
900.0,2.491404414176941,0.1448026766069233,4.0,0.1861796334385871,3.3617618824355304,4.448327188853601,0.3272310629703294,6.422458246290557,0.8794924183610714,0.2404186121275004,133.74666666666667,0.2190134707056628
901.0,2.491404414176941,0.1448026766069233,4.0,0.1420090298168361,4.520316283684224,4.332895685842511,0.3563721458487051,6.626090164770496,0.9340484477111212,0.1999333464983453,171.22000000000003,0.2322955340105393
902.0,1.4600718766450882,0.1819189181551337,3.0,0.1861796334385871,4.520316283684224,4.392207953792608,0.3740714563348874,5.877716484049489,0.8575032607977277,0.2151136260235331,219.6133333333333,0.2420636002560924
903.0,3.923980820924044,0.1844316682778299,2.0,0.23125143321231,1.483151929453015,4.261224633716763,0.1962626773754368,0.641325146777018,0.2366148062315404,0.310400783859543,23.899999999999995,0.1481186076784526
904.0,3.2048350870609283,0.1844316682778299,2.0,0.23125143321231,1.483151929453015,3.56801225195983,0.1624565800755732,0.5206661999751244,0.2764920728479081,0.2621418383025908,10.68,0.1422458546849535
905.0,3.923980820924044,0.055716258008033,2.0,0.23125143321231,1.483151929453015,3.282491385933573,0.373342328889467,2.3334543396408622,0.425096437272877,0.2196188962843931,231.6133333333333,0.2185486148176565
906.0,3.923980820924044,0.1844316682778299,3.0,0.23125143321231,1.483151929453015,4.082154664985471,0.2190077265570776,0.6602088579268409,0.2636489471033779,0.3234738539404137,16.066666666666666,0.1935092265563342
907.0,3.923980820924044,0.1844316682778299,2.0,0.0662747683934867,1.483151929453015,2.4992239489377464,0.0335555555555555,0.0673333333333333,0.1859999999999999,0.3002656452466509,3.08,0.1415563251629553
908.0,3.923980820924044,0.1844316682778299,2.0,0.23125143321231,1.6497528455220165,3.897949901904672,0.217810959553095,0.6455826444701573,0.277727602691999,0.2831153116464992,15.946666666666667,0.201532575063922
909.0,3.2048350870609283,0.055716258008033,3.0,0.0662747683934867,1.6497528455220165,3.687645398345384,0.3389344709171466,1.48977692434607,0.2131425167836996,0.2176521517881627,68.16666666666667,0.2473195980894861
